sample	nil_id	pedigree
PN8_SID758	Zx05702311	Zx.0570_P2_P3_P1.1.1.1
PN8_SID759	Zx05702312	Zx.0570_P2_P3_P1.2.1.1
PN8_SID760	Zx05702313	Zx.0570_P2_P3_P1.3.1.1
PN8_SID761	Zx05702314	Zx.0570_P2_P3_P1.4.1.1
PN8_SID762	Zx05702322	Zx.0570_P2_P3_P2.2.1.1
PN8_SID763	Zx05702323	Zx.0570_P2_P3_P2.3.1.1
PN8_SID764	Zx05702324	Zx.0570_P2_P3_P2.4.1.1
PN8_SID765	Zx05702331	Zx.0570_P2_P3_P3.1.1.1
PN8_SID766	Zx05702332	Zx.0570_P2_P3_P3.2.1.1
PN8_SID767	Zx05702333	Zx.0570_P2_P3_P3.3.1.1
PN8_SID768	Zx05702411	Zx.0570_P2_P4_P1.1.1.1
PN9_SID769	Zx05702412	Zx.0570_P2_P4_P1.2.1.1
PN9_SID770	Zx05702414	Zx.0570_P2_P4_P1.4.1.1
PN9_SID771	Zx05702421	Zx.0570_P2_P4_P2.1.1.1
PN9_SID772	Zx05702423	Zx.0570_P2_P4_P2.3.1.1
PN9_SID773	Zx05702511	Zx.0570_P2_P5_P1.1.1.1
PN9_SID774	Zx05702512	Zx.0570_P2_P5_P1.2.1.1
PN9_SID775	Zx05702521	Zx.0570_P2_P5_P2.1.1.1
PN9_SID776	Zx05702522	Zx.0570_P2_P5_P2.2.1.1
PN9_SID777	Zx05702523	Zx.0570_P2_P5_P2.3.1.1
PN9_SID778	Zx05702524	Zx.0570_P2_P5_P2.4.1.1
PN9_SID779	Zl00501111	Zl.0050_P1_P1_P1.1.1.1
PN9_SID780	Zl00501112	Zl.0050_P1_P1_P1.2.1.1
PN9_SID781	Zl00501113	Zl.0050_P1_P1_P1.3.1.1
PN9_SID782	Zl00501114	Zl.0050_P1_P1_P1.4.1.1
PN9_SID783	Zl00501121	Zl.0050_P1_P1_P2.1.1.1
PN9_SID784	Zl00501122	Zl.0050_P1_P1_P2.2.1.1
PN9_SID785	Zl00501123	Zl.0050_P1_P1_P2.3.1.1
PN9_SID786	Zl00501124	Zl.0050_P1_P1_P2.4.1.1
PN9_SID787	Zl00501131	Zl.0050_P1_P1_P3.1.1.1
PN9_SID788	Zl00501132	Zl.0050_P1_P1_P3.2.1.1
PN9_SID789	Zl00501141	Zl.0050_P1_P1_P4.1.1.1
PN9_SID790	Zl00501142	Zl.0050_P1_P1_P4.2.1.1
PN9_SID791	Zl00501143	Zl.0050_P1_P1_P4.3.1.1
PN9_SID792	Zl00501411	Zl.0050_P1_P4_P1.1.1.1
PN9_SID793	Zl00501421	Zl.0050_P1_P4_P2.1.1.1
