sample	nil_id	pedigree
PN11_SID1028	Zv01604111	Zv.0160_P4_P1_P1.1.1.1
PN11_SID1029	Zv01604112	Zv.0160_P4_P1_P1.2.1.1
PN11_SID1030	Zv01604211	Zv.0160_P4_P2_P1.1.1.1
PN11_SID1031	Zv01604312	Zv.0160_P4_P3_P1.2.1.1
PN11_SID1032	Zv01604411	Zv.0160_P4_P4_P1.1.1.1
PN11_SID1033	Zv01604412	Zv.0160_P4_P4_P1.2.1.1
PN11_SID1034	Zv01604511	Zv.0160_P4_P5_P1.1.1.1
PN11_SID1035	Zv01604512	Zv.0160_P4_P5_P1.2.1.1
PN11_SID1036	Zv01903111	Zv.0190_P3_P1_P1.1.1.1
PN11_SID1037	Zv01903112	Zv.0190_P3_P1_P1.2.1.1
PN11_SID1038	Zv01903211	Zv.0190_P3_P2_P1.1.1.1
PN11_SID1039	Zv01903212	Zv.0190_P3_P2_P1.2.1.1
PN11_SID1040	Zv01903411	Zv.0190_P3_P4_P1.1.1.1
PN11_SID1041	Zv01903512	Zv.0190_P3_P5_P1.2.1.1
PN11_SID1042	Zv03703111	Zv.0370_P3_P1_P1.1.1.1
PN11_SID1043	Zv03703112	Zv.0370_P3_P1_P1.2.1.1
PN11_SID1044	Zv03703121	Zv.0370_P3_P1_P2.1.1.1
PN11_SID1045	Zv03703211	Zv.0370_P3_P2_P1.1.1.1
PN11_SID1046	Zv03703212	Zv.0370_P3_P2_P1.2.1.1
PN11_SID1047	Zv03703221	Zv.0370_P3_P2_P2.1.1.1
PN11_SID1048	Zv03703222	Zv.0370_P3_P2_P2.2.1.1
PN11_SID1049	Zv03703311	Zv.0370_P3_P3_P1.1.1.1
PN11_SID1050	Zv03703313	Zv.0370_P3_P3_P1.3.1.1
PN11_SID1051	Zv03703321	Zv.0370_P3_P3_P2.1.1.1
PN11_SID1052	Zv03703411	Zv.0370_P3_P4_P1.1.1.1
PN11_SID1053	Zv03703412	Zv.0370_P3_P4_P1.2.1.1
PN11_SID1054	Zv00704111	Zv.0070_P4_P1_P1.1.1.1
PN11_SID1055	Zv00704112	Zv.0070_P4_P1_P1.2.1.1
PN11_SID1056	Zv00704211	Zv.0070_P4_P2_P1.1.1.1
PN12_SID1057	Zv00704212	Zv.0070_P4_P2_P1.2.1.1
PN12_SID1058	Zv00704221	Zv.0070_P4_P2_P2.1.1.1
PN12_SID1059	Zv00704411	Zv.0070_P4_P4_P1.1.1.1
PN12_SID1060	Zv00704412	Zv.0070_P4_P4_P1.2.1.1
PN12_SID1061	Zv00704421	Zv.0070_P4_P4_P2.1.1.1
PN12_SID1062	Zv00704511	Zv.0070_P4_P5_P1.1.1.1
PN12_SID1063	Zv00704512	Zv.0070_P4_P5_P1.2.1.1
PN12_SID1064	Zv00704521	Zv.0070_P4_P5_P2.1.1.1
PN12_SID1065	Zv04203111	Zv.0420_P3_P1_P1.1.1.1
PN12_SID1066	Zv04203113	Zv.0420_P3_P1_P1.3.1.1
PN12_SID1067	Zv04203122	Zv.0420_P3_P1_P2.2.1.1
PN12_SID1068	Zv04203211	Zv.0420_P3_P2_P1.1.1.1
PN12_SID1069	Zv04203212	Zv.0420_P3_P2_P1.2.1.1
PN12_SID1070	Zv04203221	Zv.0420_P3_P2_P2.1.1.1
PN12_SID1071	Zv04203222	Zv.0420_P3_P2_P2.2.1.1
PN12_SID1072	Zv04203311	Zv.0420_P3_P3_P1.1.1.1
PN12_SID1073	Zv04203312	Zv.0420_P3_P3_P1.2.1.1
PN12_SID1074	Zv04203321	Zv.0420_P3_P3_P2.1.1.1
PN12_SID1075	Zv04203322	Zv.0420_P3_P3_P2.2.1.1
PN12_SID1076	Zv04203412	Zv.0420_P3_P4_P1.2.1.1
PN12_SID1077	Zv04203421	Zv.0420_P3_P4_P2.1.1.1
PN12_SID1078	Zv04203422	Zv.0420_P3_P4_P2.2.1.1
PN12_SID1079	Zv04102111	Zv.0410_P2_P1_P1.1.1.1
PN12_SID1080	Zv04102112	Zv.0410_P2_P1_P1.2.1.1
PN12_SID1081	Zv04102122	Zv.0410_P2_P1_P2.2.1.1
PN12_SID1082	Zv04102311	Zv.0410_P2_P3_P1.1.1.1
PN12_SID1083	Zv04102313	Zv.0410_P2_P3_P1.3.1.1
PN12_SID1084	Zv04102321	Zv.0410_P2_P3_P2.1.1.1
PN12_SID1085	Zv04102322	Zv.0410_P2_P3_P2.2.1.1
PN12_SID1086	Zv04102412	Zv.0410_P2_P4_P1.2.1.1
PN12_SID1087	Zv04102421	Zv.0410_P2_P4_P2.1.1.1
PN12_SID1088	Zv04102422	Zv.0410_P2_P4_P2.2.1.1
PN12_SID1089	Zv04102511	Zv.0410_P2_P5_P1.1.1.1
PN12_SID1090	Zv04102512	Zv.0410_P2_P5_P1.2.1.1
PN12_SID1091	Zv02003211	Zv.0200_P3_P2_P1.1.1.1
PN12_SID1092	Zv02003222	Zv.0200_P3_P2_P2.2.1.1
PN12_SID1093	Zv02003411	Zv.0200_P3_P4_P1.1.1.1
PN12_SID1094	Zv02003412	Zv.0200_P3_P4_P1.2.1.1
PN12_SID1095	Zv02003421	Zv.0200_P3_P4_P2.1.1.1
PN12_SID1096	Zv02003511	Zv.0200_P3_P5_P1.1.1.1
PN12_SID1097	Zv00802111	Zv.0080_P2_P1_P1.1.1.1
PN12_SID1098	Zv00802112	Zv.0080_P2_P1_P1.2.1.1
PN12_SID1099	Zv00802121	Zv.0080_P2_P1_P2.1.1.1
PN12_SID1100	Zv00802122	Zv.0080_P2_P1_P2.2.1.1
PN12_SID1101	Zv00802311	Zv.0080_P2_P3_P1.1.1.1
PN12_SID1102	Zv00802312	Zv.0080_P2_P3_P1.2.1.1
PN12_SID1103	Zv00802411	Zv.0080_P2_P4_P1.1.1.1
PN12_SID1104	Zv00802412	Zv.0080_P2_P4_P1.2.1.1
PN12_SID1105	Zv00802421	Zv.0080_P2_P4_P2.1.1.1
PN12_SID1106	Zv00802422	Zv.0080_P2_P4_P2.2.1.1
PN12_SID1107	Zv00802512	Zv.0080_P2_P5_P1.2.1.1
PN12_SID1108	Zv00802513	Zv.0080_P2_P5_P1.3.1.1
PN12_SID1109	Zv01202212	Zv.0120_P2_P2_P1.2.1.1
PN12_SID1110	Zv01202222	Zv.0120_P2_P2_P2.2.1.1
PN12_SID1111	Zv01202311	Zv.0120_P2_P3_P1.1.1.1
PN12_SID1112	Zv01202321	Zv.0120_P2_P3_P2.1.1.1
PN12_SID1113	Zv01202411	Zv.0120_P2_P4_P1.1.1.1
PN12_SID1114	Zv01202412	Zv.0120_P2_P4_P1.2.1.1
PN12_SID1115	Zv01202421	Zv.0120_P2_P4_P2.1.1.1
PN12_SID1116	Zv01202511	Zv.0120_P2_P5_P1.1.1.1
PN12_SID1117	Zv01202512	Zv.0120_P2_P5_P1.2.1.1
PN12_SID1118	Zv01202521	Zv.0120_P2_P5_P2.1.1.1
PN12_SID1119	Zv01202522	Zv.0120_P2_P5_P2.2.1.1
PN12_SID1120	Zv01101211	Zv.0110_P1_P2_P1.1.1.1
PN12_SID1121	Zv01101212	Zv.0110_P1_P2_P1.2.1.1
PN12_SID1122	Zv01101411	Zv.0110_P1_P4_P1.1.1.1
PN12_SID1123	Zv01101412	Zv.0110_P1_P4_P1.2.1.1
PN12_SID1124	Zv01101421	Zv.0110_P1_P4_P2.1.1.1
PN12_SID1125	Zv02301121	Zv.0230_P1_P1_P2.1.1.1
PN12_SID1126	Zv02301212	Zv.0230_P1_P2_P1.2.1.1
PN12_SID1127	Zv02301222	Zv.0230_P1_P2_P2.2.1.1
PN12_SID1128	Zv02301311	Zv.0230_P1_P3_P1.1.1.1
PN12_SID1129	Zv02301312	Zv.0230_P1_P3_P1.2.1.1
PN12_SID1130	Zv02301322	Zv.0230_P1_P3_P2.2.1.1
PN12_SID1131	Zv02301411	Zv.0230_P1_P4_P1.1.1.1
PN12_SID1132	Zv02301412	Zv.0230_P1_P4_P1.2.1.1
PN12_SID1133	Zv02301511	Zv.0230_P1_P5_P1.1.1.1
PN12_SID1134	Zv02301512	Zv.0230_P1_P5_P1.2.1.1
PN12_SID1135	Zv02301521	Zv.0230_P1_P5_P2.1.1.1
PN12_SID1136	Zv02301522	Zv.0230_P1_P5_P2.2.1.1
PN12_SID1137	Zv02902111	Zv.0290_P2_P1_P1.1.1.1
PN12_SID1138	Zv02902112	Zv.0290_P2_P1_P1.2.1.1
PN12_SID1139	Zv02902211	Zv.0290_P2_P2_P1.1.1.1
PN12_SID1140	Zv02902212	Zv.0290_P2_P2_P1.2.1.1
PN12_SID1141	Zv02902221	Zv.0290_P2_P2_P2.1.1.1
PN12_SID1142	Zv02902222	Zv.0290_P2_P2_P2.2.1.1
PN12_SID1143	Zv02902311	Zv.0290_P2_P3_P1.1.1.1
PN12_SID1144	Zv02902312	Zv.0290_P2_P3_P1.2.1.1
PN12_SID1145	Zv02902411	Zv.0290_P2_P4_P1.1.1.1
PN12_SID1146	Zv02902412	Zv.0290_P2_P4_P1.2.1.1
PN12_SID1147	Zv02902421	Zv.0290_P2_P4_P2.1.1.1
PN12_SID1148	Zv02902422	Zv.0290_P2_P4_P2.2.1.1
PN12_SID1149	Zv02101112	Zv.0210_P1_P1_P1.2.1.1
PN12_SID1150	Zv02101211	Zv.0210_P1_P2_P1.1.1.1
PN12_SID1151	Zv02101212	Zv.0210_P1_P2_P1.2.1.1
PN12_SID1152	Zv02101311	Zv.0210_P1_P3_P1.1.1.1
PN13_SID1153	Zv02101312	Zv.0210_P1_P3_P1.2.1.1
PN13_SID1154	Zv02101321	Zv.0210_P1_P3_P2.1.1.1
PN13_SID1155	Zv02101322	Zv.0210_P1_P3_P2.2.1.1
PN13_SID1156	Zv02101411	Zv.0210_P1_P4_P1.1.1.1
PN13_SID1157	Zv02101412	Zv.0210_P1_P4_P1.2.1.1
PN13_SID1158	Zv02101422	Zv.0210_P1_P4_P2.2.1.1
PN13_SID1159	Zv02101511	Zv.0210_P1_P5_P1.1.1.1
PN13_SID1160	Zv02101512	Zv.0210_P1_P5_P1.2.1.1
PN13_SID1161	Zv02101521	Zv.0210_P1_P5_P2.1.1.1
PN13_SID1163	Zv02203112	Zv.0220_P3_P1_P1.2.1.1
PN13_SID1164	Zv02203121	Zv.0220_P3_P1_P2.1.1.1
PN13_SID1165	Zv02203122	Zv.0220_P3_P1_P2.2.1.1
PN13_SID1166	Zv02203211	Zv.0220_P3_P2_P1.1.1.1
PN13_SID1167	Zv02203212	Zv.0220_P3_P2_P1.2.1.1
PN13_SID1168	Zv02203221	Zv.0220_P3_P2_P2.1.1.1
PN13_SID1169	Zv02203223	Zv.0220_P3_P2_P2.3.1.1
PN13_SID1170	Zv02203411	Zv.0220_P3_P4_P1.1.1.1
PN13_SID1171	Zv02203412	Zv.0220_P3_P4_P1.2.1.1
PN13_SID1172	Zv02203511	Zv.0220_P3_P5_P1.1.1.1
PN13_SID1173	Zv02203512	Zv.0220_P3_P5_P1.2.1.1
PN13_SID1174	Zv02203521	Zv.0220_P3_P5_P2.1.1.1
PN13_SID1175	Zv02203522	Zv.0220_P3_P5_P2.2.1.1
PN13_SID1176	Zv02602111	Zv.0260_P2_P1_P1.1.1.1
PN13_SID1177	Zv02602121	Zv.0260_P2_P1_P2.1.1.1
PN13_SID1178	Zv02602122	Zv.0260_P2_P1_P2.2.1.1
PN13_SID1179	Zv02602211	Zv.0260_P2_P2_P1.1.1.1
PN13_SID1180	Zv02602212	Zv.0260_P2_P2_P1.2.1.1
PN13_SID1181	Zv02602222	Zv.0260_P2_P2_P2.2.1.1
PN13_SID1182	Zv02602311	Zv.0260_P2_P3_P1.1.1.1
PN13_SID1183	Zv02602312	Zv.0260_P2_P3_P1.2.1.1
PN13_SID1184	Zv02602321	Zv.0260_P2_P3_P2.1.1.1
PN13_SID1185	Zv02602322	Zv.0260_P2_P3_P2.2.1.1
PN13_SID1186	Zv02602411	Zv.0260_P2_P4_P1.1.1.1
PN13_SID1187	Zv02602412	Zv.0260_P2_P4_P1.2.1.1
PN13_SID1188	Zv02602511	Zv.0260_P2_P5_P1.1.1.1
PN13_SID1189	Zv02602512	Zv.0260_P2_P5_P1.2.1.1
PN13_SID1190	Zv01403121	Zv.0140_P3_P1_P2.1.1.1
PN13_SID1191	Zv01403122	Zv.0140_P3_P1_P2.2.1.1
PN13_SID1192	Zv01403211	Zv.0140_P3_P2_P1.1.1.1
PN13_SID1193	Zv01403212	Zv.0140_P3_P2_P1.2.1.1
PN13_SID1194	Zv01403221	Zv.0140_P3_P2_P2.1.1.1
PN13_SID1195	Zv01403311	Zv.0140_P3_P3_P1.1.1.1
PN13_SID1196	Zv01403511	Zv.0140_P3_P5_P1.1.1.1
PN13_SID1197	Zv01403521	Zv.0140_P3_P5_P2.1.1.1
PN13_SID1198	Zv01403522	Zv.0140_P3_P5_P2.2.1.1
PN13_SID1199	Zd00202111	Zd.0020_P2_P1_P1.1.1.1
PN13_SID1200	Zd00202112	Zd.0020_P2_P1_P1.2.1.1
PN13_SID1201	Zd00202114	Zd.0020_P2_P1_P1.4.1.1
PN13_SID1202	Zd00202121	Zd.0020_P2_P1_P2.1.1.1
PN13_SID1203	Zd00202122	Zd.0020_P2_P1_P2.2.1.1
PN13_SID1204	Zd00202123	Zd.0020_P2_P1_P2.3.1.1
PN13_SID1205	Zd00202131	Zd.0020_P2_P1_P3.1.1.1
PN13_SID1206	Zd00202132	Zd.0020_P2_P1_P3.2.1.1
PN13_SID1207	Zd00202133	Zd.0020_P2_P1_P3.3.1.1
PN13_SID1208	Zd00202134	Zd.0020_P2_P1_P3.4.1.1
PN13_SID1209	Zd00202211	Zd.0020_P2_P2_P1.1.1.1
PN13_SID1210	Zd00202212	Zd.0020_P2_P2_P1.2.1.1
PN13_SID1211	Zd00202213	Zd.0020_P2_P2_P1.3.1.1
PN13_SID1212	Zd00202221	Zd.0020_P2_P2_P2.1.1.1
PN13_SID1213	Zd00202222	Zd.0020_P2_P2_P2.2.1.1
PN13_SID1214	Zd00202312	Zd.0020_P2_P3_P1.2.1.1
PN13_SID1215	Zd00202313	Zd.0020_P2_P3_P1.3.1.1
PN13_SID1216	Zd00202321	Zd.0020_P2_P3_P2.1.1.1
PN13_SID1217	Zd00202322	Zd.0020_P2_P3_P2.2.1.1
PN13_SID1218	Zd00202323	Zd.0020_P2_P3_P2.3.1.1
PN13_SID1219	Zd00202411	Zd.0020_P2_P4_P1.1.1.1
PN13_SID1220	Zd00202413	Zd.0020_P2_P4_P1.3.1.1
PN13_SID1221	Zd00202414	Zd.0020_P2_P4_P1.4.1.1
PN13_SID1222	Zd00202423	Zd.0020_P2_P4_P2.3.1.1
PN13_SID1223	Zd00202424	Zd.0020_P2_P4_P2.4.1.1
PN13_SID1224	Zd00202434	Zd.0020_P2_P4_P3.4.1.1
PN13_SID1227	Zd00203131	Zd.0020_P3_P1_P3.1.1.1
PN13_SID1228	Zd00203132	Zd.0020_P3_P1_P3.2.1.1
PN13_SID1229	Zd00203134	Zd.0020_P3_P1_P3.4.1.1
PN13_SID1230	Zd00203135	Zd.0020_P3_P1_P3.5.1.1
PN13_SID1231	Zd00203212	Zd.0020_P3_P2_P1.2.1.1
PN13_SID1232	Zd00203215	Zd.0020_P3_P2_P1.5.1.1
PN13_SID1233	Zd00203221	Zd.0020_P3_P2_P2.1.1.1
PN13_SID1234	Zd00203223	Zd.0020_P3_P2_P2.3.1.1
PN13_SID1235	Zd00203224	Zd.0020_P3_P2_P2.4.1.1
PN13_SID1236	Zd00203231	Zd.0020_P3_P2_P3.1.1.1
PN13_SID1237	Zd00203232	Zd.0020_P3_P2_P3.2.1.1
PN13_SID1238	Zd00203233	Zd.0020_P3_P2_P3.3.1.1
PN13_SID1239	Zd00203241	Zd.0020_P3_P2_P4.1.1.1
PN13_SID1240	Zd00203242	Zd.0020_P3_P2_P4.2.1.1
PN13_SID1241	Zd00203243	Zd.0020_P3_P2_P4.3.1.1
PN13_SID1242	Zd00203311	Zd.0020_P3_P3_P1.1.1.1
PN13_SID1243	Zd00203312	Zd.0020_P3_P3_P1.2.1.1
PN13_SID1244	Zd00203313	Zd.0020_P3_P3_P1.3.1.1
PN13_SID1245	Zd00203323	Zd.0020_P3_P3_P2.3.1.1
PN13_SID1246	Zd00203324	Zd.0020_P3_P3_P2.4.1.1
PN13_SID1247	Zd00203331	Zd.0020_P3_P3_P3.1.1.1
PN13_SID1248	Zd00203332	Zd.0020_P3_P3_P3.2.1.1
PN14_SID1249	Zd00203333	Zd.0020_P3_P3_P3.3.1.1
PN14_SID1250	Zd00203411	Zd.0020_P3_P4_P1.1.1.1
PN14_SID1251	Zd00203413	Zd.0020_P3_P4_P1.3.1.1
PN14_SID1252	Zd00203414	Zd.0020_P3_P4_P1.4.1.1
PN14_SID1253	Zd00203421	Zd.0020_P3_P4_P2.1.1.1
PN14_SID1254	Zd00203422	Zd.0020_P3_P4_P2.2.1.1
PN14_SID1255	Zd00203423	Zd.0020_P3_P4_P2.3.1.1
PN14_SID1256	Zd00203431	Zd.0020_P3_P4_P3.1.1.1
PN14_SID1257	Zd00203432	Zd.0020_P3_P4_P3.2.1.1
PN14_SID1258	Zd00203433	Zd.0020_P3_P4_P3.3.1.1
PN14_SID1259	Zd00203434	Zd.0020_P3_P4_P3.4.1.1
PN14_SID1260	Zd00203511	Zd.0020_P3_P5_P1.1.1.1
PN14_SID1261	Zd00203512	Zd.0020_P3_P5_P1.2.1.1
PN14_SID1262	Zd00203513	Zd.0020_P3_P5_P1.3.1.1
PN14_SID1263	Zd00203514	Zd.0020_P3_P5_P1.4.1.1
PN14_SID1264	Zd00203521	Zd.0020_P3_P5_P2.1.1.1
PN14_SID1265	Zd00203522	Zd.0020_P3_P5_P2.2.1.1
PN14_SID1266	Zd00203531	Zd.0020_P3_P5_P3.1.1.1
PN14_SID1267	Zd00102111	Zd.0010_P2_P1_P1.1.1.1
PN14_SID1268	Zd00102112	Zd.0010_P2_P1_P1.2.1.1
PN14_SID1269	Zd00102113	Zd.0010_P2_P1_P1.3.1.1
PN14_SID1270	Zd00102121	Zd.0010_P2_P1_P2.1.1.1
PN14_SID1271	Zd00102122	Zd.0010_P2_P1_P2.2.1.1
PN14_SID1272	Zd00102123	Zd.0010_P2_P1_P2.3.1.1
PN14_SID1273	Zd00102124	Zd.0010_P2_P1_P2.4.1.1
PN14_SID1274	Zd00102212	Zd.0010_P2_P2_P1.2.1.1
PN14_SID1275	Zd00102213	Zd.0010_P2_P2_P1.3.1.1
PN14_SID1276	Zd00102215	Zd.0010_P2_P2_P1.5.1.1
PN14_SID1277	Zd00102221	Zd.0010_P2_P2_P2.1.1.1
PN14_SID1278	Zd00102222	Zd.0010_P2_P2_P2.2.1.1
PN14_SID1279	Zd00102223	Zd.0010_P2_P2_P2.3.1.1
PN14_SID1280	Zd00102225	Zd.0010_P2_P2_P2.5.1.1
PN14_SID1281	Zd00102312	Zd.0010_P2_P3_P1.2.1.1
PN14_SID1282	Zd00102313	Zd.0010_P2_P3_P1.3.1.1
PN14_SID1283	Zd00102314	Zd.0010_P2_P3_P1.4.1.1
PN14_SID1284	Zd00102315	Zd.0010_P2_P3_P1.5.1.1
PN14_SID1285	Zd00102321	Zd.0010_P2_P3_P2.1.1.1
PN14_SID1286	Zd00102323	Zd.0010_P2_P3_P2.3.1.1
PN14_SID1287	Zd00102324	Zd.0010_P2_P3_P2.4.1.1
PN14_SID1288	Zd00102331	Zd.0010_P2_P3_P3.1.1.1
PN14_SID1289	Zd00102333	Zd.0010_P2_P3_P3.3.1.1
PN14_SID1290	Zd00102341	Zd.0010_P2_P3_P4.1.1.1
PN14_SID1291	Zd00102342	Zd.0010_P2_P3_P4.2.1.1
PN14_SID1292	Zd00102344	Zd.0010_P2_P3_P4.4.1.1
PN14_SID1293	Zd00102345	Zd.0010_P2_P3_P4.5.1.1
PN14_SID1294	Zd00102412	Zd.0010_P2_P4_P1.2.1.1
PN14_SID1295	Zd00102413	Zd.0010_P2_P4_P1.3.1.1
PN14_SID1296	Zd00102414	Zd.0010_P2_P4_P1.4.1.1
PN14_SID1297	Zd00102421	Zd.0010_P2_P4_P2.1.1.1
PN14_SID1298	Zd00102422	Zd.0010_P2_P4_P2.2.1.1
PN14_SID1299	Zd00102423	Zd.0010_P2_P4_P2.3.1.1
PN14_SID1300	Zd00102432	Zd.0010_P2_P4_P3.2.1.1
PN14_SID1301	Zd00102433	Zd.0010_P2_P4_P3.3.1.1
PN14_SID1302	Zd00102442	Zd.0010_P2_P4_P4.2.1.1
PN14_SID1303	Zd00102443	Zd.0010_P2_P4_P4.3.1.1
PN14_SID1304	Zd00102511	Zd.0010_P2_P5_P1.1.1.1
PN14_SID1305	Zd00102512	Zd.0010_P2_P5_P1.2.1.1
PN14_SID1306	Zd00102514	Zd.0010_P2_P5_P1.4.1.1
PN14_SID1307	Zd00102521	Zd.0010_P2_P5_P2.1.1.1
PN14_SID1308	Zd00102522	Zd.0010_P2_P5_P2.2.1.1
PN14_SID1309	Zd00102523	Zd.0010_P2_P5_P2.3.1.1
PN14_SID1310	Zd00102524	Zd.0010_P2_P5_P2.4.1.1
PN14_SID1311	Zd00102531	Zd.0010_P2_P5_P3.1.1.1
PN14_SID1312	Zd00102533	Zd.0010_P2_P5_P3.3.1.1
PN14_SID1313	Zd00102541	Zd.0010_P2_P5_P4.1.1.1
PN14_SID1314	Zd00102542	Zd.0010_P2_P5_P4.2.1.1
PN14_SID1315	Zd00102544	Zd.0010_P2_P5_P4.4.1.1
PN14_SID1316	Zd00103111	Zd.0010_P3_P1_P1.1.1.1
PN14_SID1317	Zd00103113	Zd.0010_P3_P1_P1.3.1.1
PN14_SID1318	Zd00103121	Zd.0010_P3_P1_P2.1.1.1
PN14_SID1319	Zd00103122	Zd.0010_P3_P1_P2.2.1.1
PN14_SID1320	Zd00103211	Zd.0010_P3_P2_P1.1.1.1
PN14_SID1321	Zd00103213	Zd.0010_P3_P2_P1.3.1.1
PN14_SID1322	Zd00103214	Zd.0010_P3_P2_P1.4.1.1
PN14_SID1323	Zd00103221	Zd.0010_P3_P2_P2.1.1.1
PN14_SID1324	Zd00103223	Zd.0010_P3_P2_P2.3.1.1
PN14_SID1325	Zd00103231	Zd.0010_P3_P2_P3.1.1.1
PN14_SID1326	Zd00103232	Zd.0010_P3_P2_P3.2.1.1
PN14_SID1327	Zd00103233	Zd.0010_P3_P2_P3.3.1.1
PN14_SID1328	Zd00103241	Zd.0010_P3_P2_P4.1.1.1
PN14_SID1329	Zd00103242	Zd.0010_P3_P2_P4.2.1.1
PN14_SID1330	Zd00103243	Zd.0010_P3_P2_P4.3.1.1
PN14_SID1331	Zd00103251	Zd.0010_P3_P2_P5.1.1.1
PN14_SID1332	Zd00103252	Zd.0010_P3_P2_P5.2.1.1
PN14_SID1333	Zd00103253	Zd.0010_P3_P2_P5.3.1.1
PN14_SID1334	Zd00103254	Zd.0010_P3_P2_P5.4.1.1
PN14_SID1336	Zd00103313	Zd.0010_P3_P3_P1.3.1.1
PN14_SID1337	Zd00103314	Zd.0010_P3_P3_P1.4.1.1
PN14_SID1338	Zd00103321	Zd.0010_P3_P3_P2.1.1.1
PN14_SID1339	Zd00103322	Zd.0010_P3_P3_P2.2.1.1
PN14_SID1340	Zd00103324	Zd.0010_P3_P3_P2.4.1.1
PN14_SID1341	Zd00103332	Zd.0010_P3_P3_P3.2.1.1
PN14_SID1342	Zd00103334	Zd.0010_P3_P3_P3.4.1.1
PN14_SID1343	Zd00103411	Zd.0010_P3_P4_P1.1.1.1
PN14_SID1344	Zd00103412	Zd.0010_P3_P4_P1.2.1.1
PN15_SID1345	Zd00103413	Zd.0010_P3_P4_P1.3.1.1
PN15_SID1346	Zd00103421	Zd.0010_P3_P4_P2.1.1.1
PN15_SID1347	Zd00103422	Zd.0010_P3_P4_P2.2.1.1
PN15_SID1348	Zd00103423	Zd.0010_P3_P4_P2.3.1.1
PN15_SID1349	Zd00103425	Zd.0010_P3_P4_P2.5.1.1
PN15_SID1350	Zd00103431	Zd.0010_P3_P4_P3.1.1.1
PN15_SID1351	Zd00103443	Zd.0010_P3_P4_P4.3.1.1
PN15_SID1352	Zd00103444	Zd.0010_P3_P4_P4.4.1.1
PN15_SID1354	Zd00103513	Zd.0010_P3_P5_P1.3.1.1
PN15_SID1355	Zd00103514	Zd.0010_P3_P5_P1.4.1.1
PN15_SID1356	Zv03103212	Zv.0310_P3_P2_P1.2.1.1
PN15_SID1357	Zv03103213	Zv.0310_P3_P2_P1.3.1.1
PN15_SID1358	Zv03103312	Zv.0310_P3_P3_P1.2.1.1
PN15_SID1359	Zv03103411	Zv.0310_P3_P4_P1.1.1.1
PN15_SID1360	Zv03103412	Zv.0310_P3_P4_P1.2.1.1
PN15_SID1361	Zv03103421	Zv.0310_P3_P4_P2.1.1.1
PN15_SID1362	Zv03103422	Zv.0310_P3_P4_P2.2.1.1
PN15_SID1363	Zv03103512	Zv.0310_P3_P5_P1.2.1.1
PN15_SID1364	Zv03103513	Zv.0310_P3_P5_P1.3.1.1
PN15_SID1365	Zv03902111	Zv.0390_P2_P1_P1.1.1.1
PN15_SID1366	Zv03902112	Zv.0390_P2_P1_P1.2.1.1
PN15_SID1367	Zv03902211	Zv.0390_P2_P2_P1.1.1.1
PN15_SID1368	Zv03902212	Zv.0390_P2_P2_P1.2.1.1
PN15_SID1369	Zv03902311	Zv.0390_P2_P3_P1.1.1.1
PN15_SID1370	Zv03902312	Zv.0390_P2_P3_P1.2.1.1
PN15_SID1371	Zv03902321	Zv.0390_P2_P3_P2.1.1.1
PN15_SID1372	Zv03902322	Zv.0390_P2_P3_P2.2.1.1
PN15_SID1373	Zv03902411	Zv.0390_P2_P4_P1.1.1.1
PN15_SID1374	Zv03902412	Zv.0390_P2_P4_P1.2.1.1
PN15_SID1375	Zv03001111	Zv.0300_P1_P1_P1.1.1.1
PN15_SID1376	Zv03001112	Zv.0300_P1_P1_P1.2.1.1
PN15_SID1377	Zv03001121	Zv.0300_P1_P1_P2.1.1.1
PN15_SID1378	Zv03001122	Zv.0300_P1_P1_P2.2.1.1
PN15_SID1379	Zv03001211	Zv.0300_P1_P2_P1.1.1.1
PN15_SID1380	Zv03001212	Zv.0300_P1_P2_P1.2.1.1
PN15_SID1381	Zv03001221	Zv.0300_P1_P2_P2.1.1.1
PN15_SID1382	Zv03001222	Zv.0300_P1_P2_P2.2.1.1
PN15_SID1383	Zv03001311	Zv.0300_P1_P3_P1.1.1.1
PN15_SID1384	Zv03001312	Zv.0300_P1_P3_P1.2.1.1
PN15_SID1385	Zv03001321	Zv.0300_P1_P3_P2.1.1.1
PN15_SID1386	Zv03001411	Zv.0300_P1_P4_P1.1.1.1
PN15_SID1387	Zv03001412	Zv.0300_P1_P4_P1.2.1.1
PN15_SID1388	Zv03001511	Zv.0300_P1_P5_P1.1.1.1
PN15_SID1389	Zv03001512	Zv.0300_P1_P5_P1.2.1.1
PN15_SID1390	Zv02801111	Zv.0280_P1_P1_P1.1.1.1
PN15_SID1391	Zv02801112	Zv.0280_P1_P1_P1.2.1.1
PN15_SID1392	Zv02801212	Zv.0280_P1_P2_P1.2.1.1
PN15_SID1393	Zv02801311	Zv.0280_P1_P3_P1.1.1.1
PN15_SID1394	Zv02801312	Zv.0280_P1_P3_P1.2.1.1
PN15_SID1395	Zv02801412	Zv.0280_P1_P4_P1.2.1.1
PN15_SID1396	Zv02801511	Zv.0280_P1_P5_P1.1.1.1
PN15_SID1397	Zv02801512	Zv.0280_P1_P5_P1.2.1.1
PN15_SID1398	Zv02803211	Zv.0280_P3_P2_P1.1.1.1
PN15_SID1399	Zv02803212	Zv.0280_P3_P2_P1.2.1.1
PN15_SID1400	Zv02803311	Zv.0280_P3_P3_P1.1.1.1
